id,geohash,is_dispatch
B001C7V4YR,wm3vxf,1.0
B001C8MP7U,wm3vxf,1.0
B001C8N48T,wm3vxf,1.0
B001C03E81,wm3vxf,1.0
B001C802DZ,wm3vxf,1.0
B0FFGAI0Q3,wm6kg1,0.0
B0FFGR72XT,wm6r82,0.0
B001C7V894,wm6r82,0.0
B0FFHGB1X0,wm6r82,0.0
B001C04B7E,wm6r82,0.0
B001C7XZ6H,wm6r82,0.0
B0FFF2YCLJ,wm6r82,0.0
B0FFIR2W59,wm6r82,0.0
B001C7XWXW,wm6r82,0.0
B0FFF2DM53,wm6r82,0.0
B001C8MDBW,wm6r82,0.0
B001C7ZWZZ,wm6r82,0.0
B0FFI1DFOO,wm6r82,0.0
B001C7Y1O6,wm6r82,0.0
B001C7XZEO,wm6r82,0.0
B0FFJGH6YR,wm6r82,0.0
B001C7ZWVC,wm6r82,0.0
B001C8MDBV,wm6r82,0.0
B0FFG37ZYA,wm6r82,0.0
B0FFFD1W5E,wm6r82,0.0
B001C7U3IY,wm6r82,0.0
B0FFG1KM2W,wm6r82,0.0
B001C801J3,wm6r82,0.0
B001C8U94L,wm6r82,0.0
B001C01D15,wm6nj7,1.0
B0FFFH0GA6,wm6nj7,1.0
B0FFFGV0DQ,wm6nj7,1.0
B001C8ORCO,wm6nj7,1.0
B001C7XU1W,wm6nj7,1.0
B001C802ZA,wm6nj7,1.0
B0FFFEIEWE,wm3yy9,1.0
B0FFKCFICJ,wm3yy9,1.0
B001C8R8S6,wm3yy9,1.0
B001C05133,wm3yy9,1.0
B0FFF38T4L,wm3yy9,1.0
B001C8WI8F,wm3yy9,1.0
B001C80JV3,wm3yy9,1.0
B0FFFVFETJ,wm3yy9,1.0
B001C09LUT,wm3yy9,1.0
B0FFGATS59,wm3yy9,1.0
B001C7XMT1,wm3yy9,1.0
B0FFH2JW3D,wm3yy9,1.0
B0FFH0WDRK,wm3yy9,1.0
B001C94P3X,wm3yy9,1.0
B001C8MKTP,wm3yy9,1.0
B0FFFAD66E,wm3wq1,1.0
B03400MYUA,wm6kgh,0.0
B0FFHF3MY6,wm6kgh,0.0
B0FFFQ1RAU,wm6kgh,0.0
B0FFF2ZGXV,wm6kgh,0.0
B0FFFRWGOL,wm6kgh,0.0
B0FFGY8I9H,wm6kgh,0.0
B0FFG09E25,wm6kgh,0.0
B03400167C,wm6kgh,0.0
B0FFFPU4JU,wm6kgh,0.0
B0FFGKY6V0,wm6kgh,0.0
B034000QKI,wm6kgh,0.0
B03400011E,wm6kgh,0.0
B03400011B,wm6kgh,0.0
B0FFFRQEXG,wm6kgh,0.0
